EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritialStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
362,32,No,Travel_Rarely,128,Research & Development,2,Below College,Technical Degree,Very High,Male,84,Medium,2,Laboratory Technician,Low,Single,2176,19737,4,No,13,Excellent,4,0,9,5,Better,6,2,0,4
364,28,Yes,Travel_Rarely,529,Research & Development,2,Master,Life Sciences,Low,Male,79,High,1,Laboratory Technician,High,Single,3485,14935,2,No,11,Excellent,3,0,5,5,Bad,0,0,0,0
367,31,No,Travel_Rarely,1463,Research & Development,23,Bachelor,Medical,Medium,Male,64,Medium,2,Healthcare Representative,Very High,Married,5582,14408,0,No,21,Outstanding,2,1,10,2,Better,9,0,7,8
369,25,No,Non-Travel,675,Research & Development,5,College,Life Sciences,Medium,Male,85,Very High,2,Healthcare Representative,Low,Divorced,4000,18384,1,No,12,Excellent,4,2,6,2,Better,6,3,1,5
372,45,No,Travel_Rarely,1385,Research & Development,20,College,Medical,High,Male,79,High,4,Healthcare Representative,Very High,Married,13496,7501,0,Yes,14,Excellent,2,0,21,2,Better,20,7,4,10
373,36,No,Travel_Rarely,1403,Research & Development,6,Bachelor,Life Sciences,Very High,Male,47,High,1,Laboratory Technician,Very High,Married,3210,20251,0,No,11,Excellent,3,1,16,4,Better,15,13,10,11
377,28,No,Travel_Rarely,1158,Research & Development,9,Bachelor,Medical,Very High,Male,94,High,1,Research Scientist,Very High,Married,2070,2613,1,No,23,Outstanding,4,1,5,3,Good,5,2,0,4
379,21,No,Travel_Rarely,996,Research & Development,3,College,Medical,Very High,Male,100,Medium,1,Research Scientist,High,Single,3230,10531,1,No,17,Excellent,1,0,3,4,Best,3,2,1,0
389,55,No,Travel_Rarely,147,Research & Development,20,College,Technical Degree,Medium,Male,37,High,2,Laboratory Technician,Very High,Married,5415,15972,3,Yes,19,Excellent,4,1,12,4,Better,10,7,0,8
390,26,No,Travel_Frequently,496,Research & Development,11,College,Medical,Low,Male,60,High,2,Healthcare Representative,Low,Married,4741,22722,1,Yes,13,Excellent,3,1,5,3,Better,5,3,3,3
391,37,No,Travel_Rarely,1372,Research & Development,1,Bachelor,Life Sciences,Very High,Female,42,High,1,Research Scientist,Very High,Single,2115,15881,1,No,12,Excellent,2,0,17,3,Better,17,12,5,7
392,44,Yes,Travel_Frequently,920,Research & Development,24,Bachelor,Life Sciences,Very High,Male,43,High,1,Laboratory Technician,High,Divorced,3161,19920,3,Yes,22,Outstanding,4,1,19,0,Bad,1,0,0,0
393,38,No,Travel_Rarely,688,Research & Development,23,Master,Life Sciences,Very High,Male,82,High,2,Healthcare Representative,Very High,Divorced,5745,18899,9,No,14,Excellent,2,1,10,2,Better,2,2,1,2
394,26,Yes,Travel_Rarely,1449,Research & Development,16,Master,Medical,Low,Male,45,High,1,Laboratory Technician,Medium,Divorced,2373,14180,2,Yes,13,Excellent,4,1,5,2,Better,3,2,0,2
395,28,No,Travel_Rarely,1117,Research & Development,8,College,Life Sciences,Very High,Female,66,High,1,Research Scientist,Very High,Single,3310,4488,1,No,21,Outstanding,4,0,5,3,Better,5,3,0,2
397,36,No,Travel_Rarely,506,Research & Development,3,Bachelor,Technical Degree,High,Male,30,High,2,Research Scientist,Medium,Single,4485,26285,4,No,12,Excellent,4,0,10,2,Better,8,0,7,7
403,37,No,Travel_Frequently,889,Research & Development,9,Bachelor,Medical,Medium,Male,53,High,1,Research Scientist,Very High,Married,2326,11411,1,Yes,12,Excellent,3,3,4,3,Good,4,2,1,2
405,18,Yes,Travel_Rarely,230,Research & Development,3,Bachelor,Life Sciences,High,Male,54,High,1,Laboratory Technician,High,Single,1420,25233,1,No,13,Excellent,3,0,0,2,Better,0,0,0,0
407,36,No,Travel_Frequently,566,Research & Development,18,Master,Life Sciences,High,Male,81,Very High,1,Laboratory Technician,Very High,Married,3688,7122,4,No,18,Excellent,4,2,4,2,Better,1,0,0,0
412,28,No,Travel_Rarely,1476,Research & Development,16,College,Medical,Medium,Male,68,Very High,2,Healthcare Representative,Low,Single,5661,4824,0,No,19,Excellent,3,0,9,2,Better,8,3,0,7
417,39,No,Travel_Rarely,1132,Research & Development,1,Bachelor,Medical,High,Male,48,Very High,3,Healthcare Representative,Very High,Divorced,9613,10942,0,No,17,Excellent,1,3,19,5,Good,18,10,3,7
419,36,No,Non-Travel,1105,Research & Development,24,Master,Life Sciences,Medium,Female,47,High,2,Laboratory Technician,Medium,Married,5674,6927,7,No,15,Excellent,3,1,11,3,Better,9,8,0,8
422,58,No,Non-Travel,390,Research & Development,1,Master,Life Sciences,Very High,Male,32,Low,2,Healthcare Representative,High,Divorced,5660,17056,2,Yes,13,Excellent,4,1,12,2,Better,5,3,1,2
423,31,No,Travel_Rarely,691,Research & Development,5,Master,Technical Degree,High,Male,86,High,1,Research Scientist,Very High,Married,4821,10077,0,Yes,12,Excellent,3,1,6,4,Better,5,2,0,3
425,45,No,Travel_Frequently,1249,Research & Development,7,Bachelor,Life Sciences,Low,Male,97,High,3,Laboratory Technician,Low,Divorced,5210,20308,1,No,18,Excellent,1,1,24,2,Better,24,9,9,11
426,31,No,Travel_Rarely,192,Research & Development,2,Master,Life Sciences,High,Male,32,High,1,Research Scientist,Very High,Divorced,2695,7747,0,Yes,18,Excellent,2,1,3,2,Bad,2,2,2,2
430,43,No,Travel_Frequently,185,Research & Development,10,Master,Life Sciences,High,Female,33,High,1,Laboratory Technician,Very High,Single,2455,10675,0,No,19,Excellent,1,0,9,5,Better,8,7,1,7
431,49,No,Travel_Rarely,1091,Research & Development,1,College,Technical Degree,High,Female,90,Medium,4,Healthcare Representative,High,Single,13964,17810,7,Yes,12,Excellent,4,0,25,2,Better,7,1,0,7
433,52,Yes,Travel_Rarely,723,Research & Development,8,Master,Medical,High,Male,85,Medium,2,Research Scientist,Medium,Married,4941,17747,2,No,15,Excellent,1,0,11,3,Good,8,2,7,7
434,27,No,Travel_Rarely,1220,Research & Development,5,Bachelor,Life Sciences,High,Female,85,High,1,Research Scientist,Medium,Single,2478,20938,1,Yes,12,Excellent,2,0,4,2,Good,4,3,1,2
439,32,No,Travel_Rarely,1018,Research & Development,2,Master,Medical,Low,Female,74,Very High,2,Research Scientist,Very High,Single,5055,10557,7,No,16,Excellent,3,0,10,0,Good,7,7,0,7
440,28,Yes,Travel_Rarely,1157,Research & Development,2,Master,Medical,Low,Male,84,Low,1,Research Scientist,Very High,Married,3464,24737,5,Yes,13,Excellent,4,0,5,4,Good,3,2,2,2
441,30,No,Travel_Rarely,1275,Research & Development,28,College,Medical,Very High,Female,64,High,2,Research Scientist,Very High,Married,5775,11934,1,No,13,Excellent,4,2,11,2,Better,10,8,1,9
448,43,No,Travel_Frequently,559,Research & Development,10,Master,Life Sciences,High,Female,82,Medium,2,Laboratory Technician,High,Divorced,5257,6227,1,No,11,Excellent,2,1,9,3,Best,9,7,0,0
450,54,No,Travel_Frequently,928,Research & Development,20,Master,Life Sciences,Very High,Female,31,High,2,Research Scientist,High,Single,4869,16885,3,No,12,Excellent,4,0,20,4,Good,4,3,0,3
451,43,No,Travel_Rarely,1001,Research & Development,7,Bachelor,Life Sciences,High,Female,43,High,3,Healthcare Representative,Low,Married,9985,9262,8,No,16,Excellent,1,1,10,1,Good,1,0,0,0
452,45,No,Travel_Rarely,549,Research & Development,8,Master,Other,Very High,Male,75,High,2,Research Scientist,Very High,Married,3697,9278,9,No,14,Excellent,1,2,12,3,Better,10,9,9,8
454,29,Yes,Travel_Rarely,318,Research & Development,8,Master,Other,Medium,Male,77,Low,1,Laboratory Technician,Low,Married,2119,4759,1,Yes,11,Excellent,4,0,7,4,Good,7,7,0,7
455,29,No,Travel_Rarely,738,Research & Development,9,Doctor,Other,Medium,Male,30,Medium,1,Laboratory Technician,Very High,Single,3983,7621,0,No,17,Excellent,3,0,4,2,Better,3,2,2,2
465,23,No,Travel_Rarely,1309,Research & Development,26,Below College,Life Sciences,High,Male,83,High,1,Research Scientist,Very High,Divorced,2904,16092,1,No,12,Excellent,3,2,4,2,Good,4,2,0,2
471,32,No,Travel_Rarely,1062,Research & Development,2,Bachelor,Medical,High,Female,75,High,1,Laboratory Technician,Medium,Married,2370,3956,1,No,13,Excellent,3,1,8,4,Better,8,0,0,7
474,37,No,Travel_Rarely,1319,Research & Development,6,Bachelor,Medical,High,Male,51,Very High,2,Research Scientist,Low,Divorced,5974,17001,4,Yes,13,Excellent,1,2,13,2,Better,7,7,6,7
477,42,No,Travel_Rarely,1332,Research & Development,2,Master,Other,Low,Male,98,Medium,2,Healthcare Representative,Very High,Single,6781,17078,3,No,23,Outstanding,2,0,14,6,Better,1,0,0,0
482,57,No,Travel_Rarely,593,Research & Development,1,Master,Medical,Very High,Male,88,High,2,Healthcare Representative,High,Married,6755,2967,2,No,11,Excellent,3,0,15,2,Better,3,2,1,2
483,40,No,Travel_Rarely,1171,Research & Development,10,Master,Life Sciences,Very High,Female,46,Very High,1,Laboratory Technician,High,Married,2213,22495,3,Yes,13,Excellent,3,1,10,3,Better,7,7,1,7
486,37,No,Travel_Rarely,921,Research & Development,10,Bachelor,Medical,High,Female,98,High,1,Laboratory Technician,Low,Married,3452,17663,6,No,20,Outstanding,2,1,17,3,Better,5,4,0,3
491,50,No,Travel_Rarely,1046,Research & Development,10,Bachelor,Technical Degree,Very High,Male,100,Medium,3,Healthcare Representative,Very High,Single,10496,2755,6,No,15,Excellent,4,0,20,2,Better,4,3,1,3
493,31,No,Travel_Rarely,408,Research & Development,9,Master,Life Sciences,High,Male,42,Medium,1,Research Scientist,Medium,Single,2657,7551,0,Yes,16,Excellent,4,0,3,5,Better,2,2,2,2
495,29,No,Travel_Rarely,1283,Research & Development,23,Bachelor,Life Sciences,Very High,Male,54,High,1,Research Scientist,Very High,Single,2201,18168,9,No,16,Excellent,4,0,6,4,Better,3,2,1,2
496,35,No,Travel_Rarely,755,Research & Development,9,Master,Life Sciences,High,Male,97,Medium,2,Healthcare Representative,Medium,Single,6540,19394,9,No,19,Excellent,3,0,10,5,Better,1,1,0,0
497,27,No,Travel_Rarely,1469,Research & Development,1,College,Medical,Very High,Male,82,High,1,Laboratory Technician,Medium,Divorced,3816,17881,1,No,11,Excellent,2,1,5,2,Better,5,2,0,4
499,49,No,Travel_Rarely,1261,Research & Development,7,Bachelor,Other,Medium,Male,31,Medium,3,Healthcare Representative,High,Single,10965,12066,8,No,24,Outstanding,3,0,26,2,Better,5,2,0,0
501,36,No,Travel_Rarely,329,Research & Development,2,Bachelor,Life Sciences,Very High,Female,96,High,1,Research Scientist,High,Married,2543,11868,4,No,13,Excellent,2,1,6,3,Better,2,2,2,2
510,26,Yes,Travel_Frequently,575,Research & Development,3,Below College,Technical Degree,High,Male,73,High,1,Research Scientist,Low,Single,3102,6582,0,No,22,Outstanding,3,0,7,2,Better,6,4,0,4
511,22,No,Travel_Rarely,253,Research & Development,11,Bachelor,Medical,Low,Female,43,High,1,Research Scientist,Medium,Married,2244,24440,1,No,13,Excellent,4,1,2,1,Better,2,1,1,2
514,30,Yes,Travel_Frequently,464,Research & Development,4,Bachelor,Technical Degree,High,Male,40,High,1,Research Scientist,Very High,Single,2285,3427,9,Yes,23,Outstanding,3,0,3,4,Better,1,0,0,0
515,37,No,Travel_Rarely,1107,Research & Development,14,Bachelor,Life Sciences,Very High,Female,95,High,1,Laboratory Technician,Low,Divorced,3034,26914,1,No,12,Excellent,3,1,18,2,Good,18,7,12,17
517,42,No,Travel_Rarely,201,Research & Development,1,Master,Life Sciences,Medium,Female,95,High,1,Laboratory Technician,Low,Divorced,2576,20490,3,No,16,Excellent,2,1,8,5,Better,5,2,1,2
521,40,No,Travel_Rarely,555,Research & Development,2,Bachelor,Medical,Medium,Female,78,Medium,2,Laboratory Technician,High,Married,3448,13436,6,No,22,Outstanding,2,1,20,3,Better,1,0,0,0
525,43,No,Travel_Frequently,313,Research & Development,21,Bachelor,Medical,Very High,Male,61,High,1,Laboratory Technician,Very High,Married,2258,15238,7,No,20,Outstanding,1,1,8,1,Better,3,2,1,2
526,43,No,Travel_Rarely,1473,Research & Development,8,Master,Other,High,Female,74,High,2,Healthcare Representative,High,Divorced,4522,2227,4,Yes,14,Excellent,4,0,8,3,Better,5,2,0,2
529,37,No,Non-Travel,1063,Research & Development,25,Doctor,Medical,Medium,Female,72,High,2,Research Scientist,High,Married,4449,23866,3,Yes,15,Excellent,1,2,15,2,Better,13,11,10,7
530,31,No,Travel_Rarely,329,Research & Development,1,College,Life Sciences,Very High,Male,98,Medium,1,Laboratory Technician,Low,Married,2218,16193,1,No,12,Excellent,3,1,4,3,Better,4,2,3,2
536,28,No,Travel_Rarely,1300,Research & Development,17,College,Medical,High,Male,79,High,2,Laboratory Technician,Low,Divorced,4558,13535,1,No,12,Excellent,4,1,10,2,Better,10,0,1,8
538,25,Yes,Travel_Rarely,688,Research & Development,3,Bachelor,Medical,Low,Male,91,High,1,Laboratory Technician,Low,Married,4031,9396,5,No,13,Excellent,3,1,6,5,Better,2,2,0,2
544,45,No,Travel_Rarely,192,Research & Development,10,College,Life Sciences,Low,Male,69,High,1,Research Scientist,Very High,Married,2654,9655,3,No,21,Outstanding,4,2,8,3,Good,2,2,0,2
547,42,No,Travel_Frequently,532,Research & Development,29,College,Life Sciences,Low,Female,92,High,2,Research Scientist,High,Divorced,4556,12932,2,No,11,Excellent,2,1,19,3,Better,5,4,0,2
551,42,No,Travel_Frequently,1368,Research & Development,28,Master,Technical Degree,Very High,Female,88,Medium,2,Healthcare Representative,Very High,Married,4523,4386,0,No,11,Excellent,4,3,7,4,Best,6,5,0,4
556,38,No,Travel_Frequently,1490,Research & Development,2,College,Life Sciences,Very High,Male,42,High,1,Laboratory Technician,Very High,Married,1702,12106,1,Yes,23,Outstanding,3,1,1,3,Better,1,0,0,0
560,26,No,Travel_Rarely,1349,Research & Development,23,Bachelor,Life Sciences,Low,Female,90,High,1,Research Scientist,Very High,Divorced,2886,3032,1,No,22,Outstanding,2,2,3,3,Bad,3,2,0,2
562,30,No,Non-Travel,1400,Research & Development,3,Bachelor,Life Sciences,High,Male,53,High,1,Laboratory Technician,Very High,Married,2097,16734,4,No,15,Excellent,3,1,9,3,Bad,5,3,1,4
565,29,Yes,Travel_Rarely,408,Research & Development,25,Doctor,Technical Degree,High,Female,71,Medium,1,Research Scientist,Medium,Married,2546,18300,5,No,16,Excellent,2,0,6,2,Best,2,2,1,1
571,30,No,Non-Travel,1116,Research & Development,2,Bachelor,Medical,High,Female,49,High,1,Laboratory Technician,Very High,Single,2564,7181,0,No,14,Excellent,3,0,12,2,Good,11,7,6,7
577,35,No,Travel_Rarely,144,Research & Development,22,Bachelor,Life Sciences,Very High,Male,46,Low,1,Laboratory Technician,High,Single,4230,19225,0,No,15,Excellent,3,0,6,2,Better,5,4,4,3
578,54,No,Travel_Rarely,548,Research & Development,8,Master,Life Sciences,High,Female,42,High,2,Laboratory Technician,High,Single,3780,23428,7,No,11,Excellent,3,0,19,3,Better,1,0,0,0
579,34,No,Travel_Rarely,1303,Research & Development,2,Master,Life Sciences,Very High,Male,62,Medium,1,Research Scientist,High,Divorced,2768,8416,3,No,12,Excellent,3,1,14,3,Better,7,3,5,7
584,33,Yes,Travel_Rarely,587,Research & Development,10,Below College,Medical,Low,Male,38,Low,1,Laboratory Technician,Very High,Divorced,3408,6705,7,No,13,Excellent,1,3,8,2,Better,4,3,1,3
586,35,No,Travel_Rarely,1276,Research & Development,16,Bachelor,Life Sciences,Very High,Male,72,High,3,Healthcare Representative,High,Married,7632,14295,4,Yes,12,Excellent,3,0,10,2,Better,8,7,0,0
587,31,Yes,Travel_Frequently,534,Research & Development,20,Bachelor,Life Sciences,Low,Male,66,High,3,Healthcare Representative,High,Married,9824,22908,3,No,12,Excellent,1,0,12,2,Better,1,0,0,0
591,42,No,Travel_Frequently,1474,Research & Development,5,College,Other,Medium,Male,97,High,1,Laboratory Technician,High,Married,2093,9260,4,No,17,Excellent,4,1,8,4,Better,2,2,2,0
593,22,Yes,Travel_Frequently,1368,Research & Development,4,Below College,Technical Degree,High,Male,99,Medium,1,Laboratory Technician,High,Single,3894,9129,5,No,16,Excellent,3,0,4,3,Better,2,2,1,2
602,39,No,Travel_Frequently,443,Research & Development,8,Below College,Life Sciences,High,Female,48,High,1,Laboratory Technician,High,Married,3755,17872,1,No,11,Excellent,1,1,8,3,Better,8,3,0,7
616,41,No,Non-Travel,509,Research & Development,2,Master,Other,Low,Female,62,Medium,2,Healthcare Representative,High,Single,6811,2112,2,Yes,17,Excellent,1,0,10,3,Better,8,7,0,7
622,26,Yes,Travel_Rarely,471,Research & Development,24,Bachelor,Technical Degree,High,Male,66,Low,1,Laboratory Technician,Very High,Single,2340,23213,1,Yes,18,Excellent,2,0,1,3,Bad,1,0,0,0
624,46,No,Travel_Frequently,1034,Research & Development,18,Below College,Medical,Low,Female,86,High,3,Healthcare Representative,High,Married,10527,8984,5,No,11,Excellent,4,0,28,3,Good,2,2,1,2
630,52,No,Travel_Rarely,956,Research & Development,6,College,Technical Degree,Very High,Male,78,High,2,Research Scientist,Low,Divorced,5577,22087,3,Yes,12,Excellent,2,2,18,3,Better,10,9,6,9
634,38,No,Travel_Rarely,1495,Research & Development,10,Bachelor,Medical,High,Female,76,High,2,Healthcare Representative,High,Married,9824,22174,3,No,19,Excellent,3,1,18,4,Better,1,0,0,0
639,24,No,Travel_Rarely,691,Research & Development,23,Bachelor,Medical,Medium,Male,89,Very High,1,Research Scientist,Very High,Married,2725,21630,1,Yes,11,Excellent,2,2,6,3,Better,6,5,1,4
643,24,No,Travel_Rarely,823,Research & Development,17,College,Other,Very High,Male,94,Medium,1,Laboratory Technician,Medium,Married,2127,9100,1,No,21,Outstanding,4,1,1,2,Better,1,0,0,0
647,24,Yes,Travel_Frequently,1287,Research & Development,7,Bachelor,Life Sciences,Low,Female,55,High,1,Laboratory Technician,High,Married,2886,14168,1,Yes,16,Excellent,4,1,6,4,Better,6,3,1,2
649,34,No,Travel_Rarely,254,Research & Development,1,College,Life Sciences,Medium,Male,83,Medium,1,Research Scientist,Very High,Married,3622,22794,1,Yes,13,Excellent,4,1,6,3,Better,6,5,1,3
652,35,No,Travel_Rarely,538,Research & Development,25,College,Other,Low,Male,54,Medium,2,Laboratory Technician,Very High,Single,3681,14004,4,No,14,Excellent,4,0,9,3,Better,3,2,0,2
655,27,No,Travel_Rarely,798,Research & Development,6,Master,Medical,Low,Female,66,Medium,1,Research Scientist,High,Divorced,2187,5013,0,No,12,Excellent,3,2,6,5,Good,5,3,0,3
657,20,No,Travel_Rarely,959,Research & Development,1,Bachelor,Life Sciences,Very High,Female,83,Medium,1,Research Scientist,Medium,Single,2836,11757,1,No,13,Excellent,4,0,1,0,Best,1,0,0,0
659,42,No,Travel_Rarely,622,Research & Development,2,Master,Life Sciences,High,Female,81,High,2,Healthcare Representative,Very High,Married,4089,5718,1,No,13,Excellent,2,2,10,4,Better,10,2,2,2
662,38,No,Travel_Rarely,362,Research & Development,1,Below College,Life Sciences,High,Female,43,High,1,Research Scientist,Low,Single,2619,14561,3,No,17,Excellent,4,0,8,3,Good,0,0,0,0
663,43,No,Travel_Frequently,1001,Research & Development,9,Doctor,Medical,Very High,Male,72,High,2,Laboratory Technician,High,Divorced,5679,19627,3,Yes,13,Excellent,2,1,10,3,Better,8,7,4,7
675,22,No,Travel_Rarely,604,Research & Development,6,Below College,Medical,Low,Male,69,High,1,Research Scientist,High,Married,2773,12145,0,No,20,Outstanding,4,0,3,3,Better,2,2,2,2
679,32,No,Travel_Rarely,646,Research & Development,9,Master,Life Sciences,Low,Female,92,High,2,Research Scientist,Very High,Married,6322,18089,1,Yes,12,Excellent,4,1,6,2,Good,6,4,0,5
680,30,No,Travel_Frequently,160,Research & Development,3,Bachelor,Medical,High,Female,71,High,1,Research Scientist,High,Divorced,2083,22653,1,No,20,Outstanding,3,1,1,2,Better,1,0,0,0
683,34,No,Travel_Rarely,1397,Research & Development,1,Doctor,Life Sciences,Medium,Male,42,High,1,Research Scientist,Very High,Married,2691,7660,1,No,12,Excellent,4,1,10,4,Good,10,9,8,8
686,26,No,Travel_Rarely,991,Research & Development,6,Bachelor,Life Sciences,High,Female,71,High,1,Laboratory Technician,Very High,Married,2659,17759,1,Yes,13,Excellent,3,1,3,2,Better,3,2,0,2
691,35,No,Travel_Rarely,1017,Research & Development,6,Master,Life Sciences,Medium,Male,82,Low,2,Research Scientist,Very High,Single,6646,19368,1,No,13,Excellent,2,0,17,3,Better,17,11,11,8
692,33,No,Travel_Frequently,1296,Research & Development,6,Bachelor,Life Sciences,High,Male,30,High,2,Healthcare Representative,Very High,Divorced,7725,5335,3,No,23,Outstanding,3,1,15,2,Bad,13,11,4,7
700,27,No,Travel_Rarely,1115,Research & Development,3,Master,Medical,Low,Male,54,Medium,1,Research Scientist,Very High,Single,2045,15174,0,No,13,Excellent,4,0,5,0,Better,4,2,1,1
701,20,Yes,Travel_Rarely,1362,Research & Development,10,Below College,Medical,Very High,Male,32,High,1,Research Scientist,High,Single,1009,26999,1,Yes,11,Excellent,4,0,1,5,Better,1,0,1,1
702,33,Yes,Travel_Frequently,1076,Research & Development,3,Bachelor,Life Sciences,Low,Male,70,High,1,Research Scientist,Low,Single,3348,3164,1,Yes,11,Excellent,1,0,10,3,Better,10,8,9,7
704,35,No,Non-Travel,727,Research & Development,3,Bachelor,Life Sciences,High,Male,41,Medium,1,Laboratory Technician,High,Married,1281,16900,1,No,18,Excellent,3,2,1,3,Better,1,0,0,0
705,23,No,Travel_Rarely,885,Research & Development,4,Bachelor,Medical,Low,Male,58,Very High,1,Research Scientist,Low,Married,2819,8544,2,No,16,Excellent,1,1,5,3,Best,3,2,0,2
710,29,No,Travel_Frequently,806,Research & Development,1,Master,Life Sciences,Medium,Male,76,Low,1,Research Scientist,Very High,Divorced,2720,18959,1,No,18,Excellent,4,1,10,5,Better,10,7,2,8
715,37,No,Travel_Rarely,1225,Research & Development,10,College,Life Sciences,Very High,Male,80,Very High,1,Research Scientist,Very High,Single,4680,15232,3,No,17,Excellent,1,0,4,2,Better,1,0,0,0
716,50,No,Travel_Rarely,1207,Research & Development,28,Below College,Medical,Very High,Male,74,Very High,1,Laboratory Technician,High,Married,3221,3297,1,Yes,11,Excellent,3,3,20,3,Better,20,8,3,8
717,34,No,Travel_Rarely,1442,Research & Development,9,Bachelor,Medical,Very High,Female,46,Medium,3,Healthcare Representative,Medium,Single,8621,17654,1,No,14,Excellent,2,0,9,3,Best,8,7,7,7
721,39,No,Travel_Rarely,408,Research & Development,2,Master,Technical Degree,Very High,Female,80,Medium,2,Healthcare Representative,High,Single,4553,20978,1,No,11,Excellent,1,0,20,4,Better,20,7,11,10
724,38,No,Travel_Rarely,827,Research & Development,1,Master,Life Sciences,Medium,Female,33,Very High,2,Healthcare Representative,Very High,Single,7625,19383,0,No,13,Excellent,3,0,10,4,Good,9,7,1,8
741,28,Yes,Travel_Rarely,654,Research & Development,1,College,Life Sciences,Low,Female,67,Low,1,Research Scientist,Medium,Single,2216,3872,7,Yes,13,Excellent,4,0,10,4,Better,7,7,3,7
744,44,No,Non-Travel,381,Research & Development,24,Bachelor,Medical,Low,Male,49,Low,1,Laboratory Technician,High,Single,3708,2104,2,No,14,Excellent,3,0,9,5,Better,5,2,1,4
752,42,Yes,Travel_Frequently,933,Research & Development,19,Bachelor,Medical,High,Male,57,Very High,1,Research Scientist,High,Divorced,2759,20366,6,Yes,12,Excellent,4,0,7,2,Better,2,2,2,2
757,34,No,Travel_Rarely,970,Research & Development,8,College,Medical,Medium,Female,96,High,2,Healthcare Representative,High,Single,6142,7360,3,No,11,Excellent,4,0,10,2,Better,5,1,4,3
758,23,No,Travel_Rarely,650,Research & Development,9,Below College,Medical,Medium,Male,37,High,1,Laboratory Technician,Low,Married,2500,4344,1,No,14,Excellent,4,1,5,2,Best,4,3,0,2
762,56,No,Travel_Rarely,832,Research & Development,9,Bachelor,Medical,High,Male,81,High,4,Healthcare Representative,Very High,Married,11103,20420,7,No,11,Excellent,3,0,30,1,Good,10,7,1,1
763,40,No,Travel_Rarely,804,Research & Development,2,Below College,Medical,Very High,Female,86,Medium,1,Research Scientist,Very High,Single,2342,22929,0,Yes,20,Outstanding,4,0,5,2,Good,4,2,2,3
764,27,No,Travel_Rarely,975,Research & Development,7,Bachelor,Medical,Very High,Female,55,Medium,2,Healthcare Representative,Low,Single,6811,23398,8,No,19,Excellent,1,0,9,2,Bad,7,6,0,7
769,53,No,Travel_Rarely,346,Research & Development,6,Bachelor,Life Sciences,Very High,Male,86,High,2,Laboratory Technician,Very High,Single,2450,10919,2,No,17,Excellent,4,0,19,4,Better,2,2,2,2
771,35,No,Non-Travel,1225,Research & Development,2,Master,Life Sciences,Very High,Female,61,High,2,Healthcare Representative,Low,Divorced,5093,4761,2,No,11,Excellent,1,1,16,2,Best,1,0,0,0
772,32,No,Travel_Frequently,430,Research & Development,24,Master,Life Sciences,Low,Male,80,High,2,Laboratory Technician,Very High,Married,5309,21146,1,No,15,Excellent,4,2,10,2,Better,10,8,4,7
773,38,No,Travel_Rarely,268,Research & Development,2,Doctor,Medical,Very High,Male,92,High,1,Research Scientist,High,Married,3057,20471,6,Yes,13,Excellent,2,1,6,0,Bad,1,0,0,1
780,33,Yes,Travel_Rarely,527,Research & Development,1,Master,Other,Very High,Male,63,High,1,Research Scientist,Very High,Single,2686,5207,1,Yes,13,Excellent,3,0,10,2,Good,10,9,7,8
784,23,No,Travel_Rarely,310,Research & Development,10,Below College,Medical,Low,Male,79,Very High,1,Research Scientist,High,Single,3505,19630,1,No,18,Excellent,4,0,2,3,Better,2,2,0,2
791,52,No,Non-Travel,715,Research & Development,19,Master,Medical,Very High,Male,41,High,1,Research Scientist,Very High,Married,4258,26589,0,No,18,Excellent,1,1,5,3,Better,4,3,1,2
792,26,No,Travel_Frequently,575,Research & Development,1,College,Life Sciences,Low,Female,71,Low,1,Laboratory Technician,Very High,Divorced,4364,5288,3,No,14,Excellent,1,1,5,2,Better,2,2,2,0
793,29,No,Travel_Rarely,657,Research & Development,27,Bachelor,Medical,Medium,Female,66,High,2,Healthcare Representative,High,Married,4335,25549,4,No,12,Excellent,1,1,11,3,Good,8,7,1,1
797,34,No,Travel_Rarely,182,Research & Development,1,Master,Life Sciences,Medium,Female,72,Very High,1,Research Scientist,Very High,Single,3280,13551,2,No,16,Excellent,3,0,10,2,Better,4,2,1,3
802,37,No,Travel_Rarely,571,Research & Development,10,Below College,Life Sciences,Very High,Female,82,High,1,Research Scientist,Low,Divorced,2782,19905,0,Yes,13,Excellent,2,2,6,3,Good,5,3,4,3
804,34,No,Travel_Rarely,121,Research & Development,2,Master,Medical,High,Female,86,Medium,1,Research Scientist,Low,Single,4381,7530,1,No,11,Excellent,3,0,6,3,Better,6,5,1,3
806,30,No,Travel_Rarely,921,Research & Development,1,Bachelor,Life Sciences,Very High,Male,38,Low,1,Laboratory Technician,High,Married,3833,24375,3,No,21,Outstanding,3,2,7,2,Better,2,2,0,2
807,40,No,Travel_Frequently,791,Research & Development,2,College,Medical,High,Female,38,Very High,2,Healthcare Representative,Medium,Married,4244,9931,1,No,24,Outstanding,4,1,8,2,Better,8,7,3,7
