EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeCount,Gender,HourlyRate,JobLevel,JobRole,MaritialStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobCategory,Education_Text,EnvironmentSat_Text,JobInvolvement_Text,JobSatisfaction_Text,PerformanceRating_Text,RelationshipSat_Text,WorkLifeBalance_Text
699,36,No,Travel_Rarely,913,Research & Development,9,Medical,1,Male,48,2,Manufacturing Director,Divorced,8847,13934,2,Y,Yes,11,80,1,13,2,3,2,0,2,Leadership,College,Medium,Medium,Medium,Excellent,High,Better
725,27,No,Travel_Rarely,608,Research & Development,1,Life Sciences,1,Female,68,3,Manufacturing Director,Married,7412,6009,1,Y,No,11,80,0,9,3,9,7,0,7,Leadership,College,High,High,Low,Excellent,Very High,Better
727,32,No,Travel_Rarely,1018,Research & Development,3,Life Sciences,1,Female,39,3,Research Director,Single,11159,19373,3,Y,No,15,80,0,10,6,7,7,7,7,Leadership,College,High,High,Very High,Excellent,Very High,Better
730,53,No,Travel_Rarely,970,Research & Development,7,Life Sciences,1,Male,59,4,Research Director,Married,14814,13514,3,Y,No,19,80,0,32,3,5,1,1,3,Leadership,Bachelor,High,Very High,High,Excellent,High,Better
731,41,No,Travel_Rarely,427,Human Resources,10,Human Resources,1,Male,73,5,Manager,Divorced,19141,8861,3,Y,No,15,80,3,23,2,21,6,12,6,Leadership,Master,Medium,Medium,Very High,Excellent,Medium,Good
733,27,No,Travel_Frequently,294,Research & Development,10,Life Sciences,1,Male,32,3,Manufacturing Director,Divorced,8793,4809,1,Y,No,21,80,2,9,4,9,7,1,7,Leadership,College,Very High,High,Low,Outstandingß,High,Good
734,41,No,Travel_Rarely,314,Human Resources,1,Human Resources,1,Male,59,5,Manager,Married,19189,19562,1,Y,No,12,80,1,22,3,22,7,2,10,Leadership,Bachelor,Very High,Medium,High,Excellent,Medium,Better
742,36,No,Non-Travel,427,Research & Development,8,Life Sciences,1,Female,63,3,Research Director,Married,11713,20335,9,Y,No,14,80,1,10,2,8,7,0,5,Leadership,Bachelor,Low,Very High,Low,Excellent,Low,Better
743,38,No,Travel_Rarely,168,Research & Development,1,Life Sciences,1,Female,81,3,Manufacturing Director,Single,7861,15397,4,Y,Yes,14,80,0,10,4,1,0,0,0,Leadership,Bachelor,High,High,High,Excellent,Very High,Bestß
775,34,No,Travel_Rarely,167,Research & Development,8,Life Sciences,1,Female,32,2,Manufacturing Director,Divorced,5121,4187,3,Y,No,14,80,1,7,3,0,0,0,0,Leadership,Doctor,Medium,High,Low,Excellent,High,Better
776,52,No,Travel_Rarely,621,Sales,3,Marketing,1,Male,31,4,Manager,Married,16856,10084,1,Y,No,11,80,0,34,3,34,6,1,16,Leadership,Master,High,Medium,Low,Excellent,Low,Bestß
787,55,Yes,Travel_Rarely,725,Research & Development,2,Medical,1,Male,78,5,Manager,Married,19859,21199,5,Y,Yes,13,80,1,24,2,5,2,1,4,Leadership,Bachelor,Very High,High,Low,Excellent,Very High,Better
799,54,No,Travel_Rarely,376,Research & Development,19,Medical,1,Female,95,2,Manufacturing Director,Divorced,5485,22670,9,Y,Yes,11,80,2,9,4,5,3,1,4,Leadership,Master,Very High,High,Low,Excellent,Medium,Better
803,38,No,Travel_Frequently,240,Research & Development,2,Life Sciences,1,Female,75,2,Manufacturing Director,Single,5980,26085,6,Y,Yes,12,80,0,17,2,15,7,4,12,Leadership,Master,Low,Very High,Low,Excellent,Very High,Better
809,42,No,Travel_Frequently,570,Research & Development,8,Life Sciences,1,Male,66,5,Manager,Divorced,18430,16225,1,Y,No,13,80,1,24,4,24,7,14,9,Leadership,Bachelor,Medium,High,Very High,Excellent,Medium,Good
815,50,No,Travel_Rarely,691,Research & Development,2,Medical,1,Male,64,4,Research Director,Married,17639,6881,5,Y,No,16,80,0,30,3,4,3,0,3,Leadership,Bachelor,High,High,High,Excellent,Very High,Better
817,33,No,Travel_Rarely,213,Research & Development,7,Medical,1,Male,49,3,Research Director,Married,11691,25995,0,Y,No,11,80,0,14,3,13,9,3,7,Leadership,Bachelor,High,High,High,Excellent,Very High,Bestß
820,47,No,Travel_Rarely,202,Research & Development,2,Other,1,Female,33,4,Manager,Married,16752,12982,1,Y,Yes,11,80,1,26,3,26,14,3,0,Leadership,College,High,High,Very High,Excellent,High,Good
823,36,No,Travel_Rarely,676,Research & Development,1,Other,1,Female,35,2,Manufacturing Director,Married,5228,23361,0,Y,No,15,80,1,10,2,9,7,0,5,Leadership,Bachelor,High,High,Medium,Excellent,Low,Better
825,58,Yes,Travel_Rarely,286,Research & Development,2,Life Sciences,1,Male,31,5,Research Director,Single,19246,25761,7,Y,Yes,12,80,0,40,2,31,15,13,8,Leadership,Master,Very High,High,Medium,Excellent,Very High,Better
827,42,No,Travel_Rarely,932,Research & Development,1,Life Sciences,1,Female,43,2,Manufacturing Director,Married,6062,4051,9,Y,Yes,13,80,1,8,4,4,3,0,2,Leadership,College,Very High,Medium,Very High,Excellent,Very High,Better
830,32,No,Travel_Rarely,859,Research & Development,4,Life Sciences,1,Female,98,2,Manufacturing Director,Married,6162,19124,1,Y,No,12,80,1,14,3,14,13,6,8,Leadership,Bachelor,High,Medium,High,Excellent,High,Better
833,30,No,Travel_Rarely,946,Research & Development,2,Medical,1,Female,52,2,Manufacturing Director,Single,6877,20234,5,Y,Yes,24,80,0,12,4,0,0,0,0,Leadership,Bachelor,High,Medium,Very High,Outstandingß,Medium,Good
836,42,No,Travel_Rarely,933,Research & Development,29,Life Sciences,1,Male,98,2,Manufacturing Director,Married,4434,11806,1,Y,No,13,80,1,10,3,9,8,7,8,Leadership,Bachelor,Medium,High,Medium,Excellent,Very High,Good
843,43,No,Travel_Rarely,589,Research & Development,14,Life Sciences,1,Male,94,4,Research Director,Married,17159,5200,6,Y,No,24,80,1,22,3,4,1,1,0,Leadership,College,Medium,High,Low,Outstandingß,High,Better
844,27,No,Travel_Rarely,269,Research & Development,5,Technical Degree,1,Male,42,3,Research Director,Divorced,12808,8842,1,Y,Yes,16,80,1,9,3,9,8,0,8,Leadership,Below College,High,Medium,Very High,Excellent,Medium,Better
845,35,No,Travel_Rarely,950,Research & Development,7,Other,1,Male,59,3,Manufacturing Director,Single,10221,18869,3,Y,No,21,80,0,17,3,8,5,1,6,Leadership,Bachelor,High,High,High,Outstandingß,Medium,Bestß
851,51,No,Travel_Rarely,1318,Sales,26,Marketing,1,Female,66,4,Manager,Married,16307,5594,2,Y,No,14,80,1,29,2,20,6,4,17,Leadership,Master,Low,High,High,Excellent,High,Good
867,52,No,Travel_Frequently,890,Research & Development,25,Medical,1,Female,81,4,Manufacturing Director,Married,13826,19028,3,Y,No,22,80,0,31,3,9,8,0,0,Leadership,Master,High,Medium,Very High,Outstandingß,High,Better
872,22,No,Travel_Rarely,1230,Research & Development,1,Life Sciences,1,Male,33,2,Manufacturing Director,Married,4775,19146,6,Y,No,22,80,2,4,2,2,2,2,2,Leadership,College,Very High,Medium,Very High,Outstandingß,Low,Bad
880,35,No,Travel_Rarely,607,Research & Development,9,Life Sciences,1,Female,66,3,Manufacturing Director,Married,10685,23457,1,Y,Yes,20,80,1,17,2,17,14,5,15,Leadership,Bachelor,Very High,Medium,High,Outstandingß,Medium,Better
899,35,No,Travel_Rarely,672,Research & Development,25,Technical Degree,1,Male,78,3,Manufacturing Director,Married,10903,9129,3,Y,No,16,80,0,16,2,13,10,4,8,Leadership,Bachelor,Very High,Medium,Medium,Excellent,Low,Better
901,53,No,Travel_Rarely,102,Research & Development,23,Life Sciences,1,Female,72,4,Research Director,Single,14275,20206,6,Y,No,18,80,0,33,0,12,9,3,8,Leadership,Master,Very High,High,Very High,Excellent,High,Better
905,50,No,Non-Travel,881,Research & Development,2,Life Sciences,1,Male,98,4,Manager,Divorced,17924,4544,1,Y,No,11,80,1,31,3,31,6,14,7,Leadership,Master,Low,High,Low,Excellent,Very High,Better
920,43,No,Travel_Rarely,177,Research & Development,8,Life Sciences,1,Female,55,2,Manufacturing Director,Divorced,4765,23814,4,Y,No,21,80,1,4,2,1,0,0,0,Leadership,Bachelor,Low,High,Medium,Outstandingß,High,Bestß
926,22,Yes,Travel_Rarely,617,Research & Development,3,Life Sciences,1,Female,34,2,Manufacturing Director,Married,4171,10022,0,Y,Yes,19,80,1,4,3,3,2,0,2,Leadership,Below College,Medium,High,High,Excellent,Low,Bestß
950,38,No,Travel_Rarely,1333,Research & Development,1,Technical Degree,1,Female,80,3,Research Director,Married,13582,16292,1,Y,No,13,80,1,15,3,15,12,5,11,Leadership,Bachelor,Very High,High,Low,Excellent,Medium,Better
966,32,No,Travel_Rarely,498,Research & Development,3,Medical,1,Female,93,2,Manufacturing Director,Married,6725,13554,1,Y,No,12,80,1,8,2,8,7,6,3,Leadership,Master,High,High,Low,Excellent,High,Bestß
976,52,No,Travel_Rarely,1053,Research & Development,1,Life Sciences,1,Male,70,4,Manager,Married,17099,13829,2,Y,No,15,80,1,26,2,9,8,7,8,Leadership,College,Very High,High,Very High,Excellent,Medium,Good
981,53,No,Travel_Rarely,1376,Sales,2,Medical,1,Male,45,4,Manager,Divorced,14852,13938,6,Y,No,13,80,1,22,3,17,13,15,2,Leadership,College,High,High,High,Excellent,High,Bestß
987,47,No,Travel_Frequently,1379,Research & Development,16,Medical,1,Male,64,2,Manufacturing Director,Divorced,5067,6759,1,Y,Yes,19,80,0,20,3,19,10,2,7,Leadership,Master,High,Very High,High,Excellent,High,Bestß
992,33,No,Non-Travel,722,Sales,17,Life Sciences,1,Male,38,4,Manager,Single,17444,20489,1,Y,No,11,80,0,10,2,10,8,6,0,Leadership,Bachelor,Very High,High,High,Excellent,Very High,Better
997,50,No,Travel_Rarely,1126,Research & Development,1,Medical,1,Male,66,4,Research Director,Divorced,17399,6615,9,Y,No,22,80,1,32,1,5,4,1,3,Leadership,College,Very High,High,Very High,Outstandingß,High,Good
999,41,No,Travel_Frequently,840,Research & Development,9,Medical,1,Male,64,5,Research Director,Divorced,19419,3735,2,Y,No,17,80,1,21,2,18,16,0,11,Leadership,Bachelor,Low,High,High,Excellent,Medium,Bestß
1005,50,No,Travel_Rarely,939,Research & Development,24,Life Sciences,1,Male,95,4,Manufacturing Director,Married,13973,4161,3,Y,Yes,18,80,1,22,2,12,11,1,5,Leadership,Bachelor,Very High,High,High,Excellent,Very High,Better
1007,46,No,Travel_Rarely,566,Research & Development,7,Medical,1,Male,75,3,Manufacturing Director,Divorced,10845,24208,6,Y,No,13,80,1,13,3,8,7,0,7,Leadership,College,Very High,High,High,Excellent,Medium,Better
1009,24,No,Travel_Rarely,1206,Research & Development,17,Medical,1,Female,41,2,Manufacturing Director,Divorced,4377,24117,1,Y,No,15,80,2,5,6,4,2,3,2,Leadership,Below College,Very High,Medium,High,Excellent,Medium,Better
1011,31,No,Travel_Frequently,853,Research & Development,1,Life Sciences,1,Female,96,2,Manufacturing Director,Married,4148,11275,1,Y,No,12,80,1,4,1,4,3,0,3,Leadership,Below College,High,High,Low,Excellent,High,Better
1013,54,No,Travel_Rarely,1441,Research & Development,17,Technical Degree,1,Female,56,3,Manufacturing Director,Married,10739,13943,8,Y,No,11,80,1,22,2,10,7,0,8,Leadership,Bachelor,High,High,High,Excellent,High,Better
1015,30,No,Travel_Rarely,153,Research & Development,8,Life Sciences,1,Female,73,3,Research Director,Married,11416,17802,0,Y,Yes,12,80,3,9,4,8,7,1,7,Leadership,College,Medium,Very High,Low,Excellent,High,Good
1018,26,No,Travel_Rarely,1066,Research & Development,2,Medical,1,Male,32,2,Manufacturing Director,Married,5472,3334,1,Y,No,12,80,0,8,2,8,7,1,3,Leadership,College,Very High,Very High,Very High,Excellent,Medium,Better
1025,41,No,Travel_Rarely,549,Research & Development,7,Medical,1,Female,42,2,Manufacturing Director,Single,5003,23371,6,Y,No,14,80,0,8,6,2,2,2,1,Leadership,College,Very High,High,High,Excellent,Medium,Better
1026,39,No,Travel_Rarely,466,Research & Development,1,Life Sciences,1,Female,65,4,Manufacturing Director,Married,12742,7060,1,Y,No,16,80,1,21,3,21,6,11,8,Leadership,Below College,Very High,Medium,Very High,Excellent,High,Better
1027,27,No,Travel_Rarely,1055,Research & Development,2,Life Sciences,1,Female,47,2,Manufacturing Director,Married,4227,4658,0,Y,No,18,80,1,4,2,3,2,2,2,Leadership,Master,Low,High,Very High,Excellent,Medium,Better
1029,42,No,Travel_Rarely,265,Sales,5,Marketing,1,Male,90,5,Manager,Married,18303,7770,6,Y,No,13,80,0,21,3,1,0,0,0,Leadership,College,Very High,High,High,Excellent,Medium,Bestß
1032,59,No,Travel_Rarely,715,Research & Development,2,Life Sciences,1,Female,69,4,Manufacturing Director,Single,13726,21829,3,Y,Yes,13,80,0,30,4,5,3,4,3,Leadership,Bachelor,High,Medium,Very High,Excellent,Low,Better
1035,41,No,Non-Travel,247,Research & Development,7,Life Sciences,1,Female,55,5,Research Director,Divorced,19973,20284,1,Y,No,22,80,2,21,3,21,16,5,10,Leadership,Below College,Medium,Low,High,Outstandingß,Medium,Better
1038,52,Yes,Travel_Rarely,266,Sales,2,Marketing,1,Female,57,5,Manager,Married,19845,25846,1,Y,No,15,80,1,33,3,32,14,6,9,Leadership,Below College,Low,Low,Very High,Excellent,Very High,Better
1043,39,No,Travel_Frequently,945,Research & Development,22,Medical,1,Female,82,3,Manufacturing Director,Single,10880,5083,1,Y,Yes,13,80,0,21,2,21,6,2,8,Leadership,Bachelor,Very High,High,Low,Excellent,High,Better
1045,45,No,Travel_Rarely,1234,Sales,11,Life Sciences,1,Female,90,4,Manager,Married,17650,5404,3,Y,No,13,80,1,26,4,9,3,1,1,Leadership,College,Very High,High,Very High,Excellent,Medium,Bestß
1048,59,No,Travel_Rarely,1089,Sales,1,Technical Degree,1,Male,66,3,Manager,Married,11904,11038,3,Y,Yes,14,80,1,14,1,6,4,0,4,Leadership,College,Medium,High,Very High,Excellent,High,Bad
1061,50,No,Travel_Rarely,1464,Research & Development,2,Medical,1,Male,62,5,Research Director,Married,19237,12853,2,Y,Yes,11,80,1,29,2,8,1,7,7,Leadership,Master,Medium,High,High,Excellent,Very High,Good
1069,46,No,Travel_Rarely,430,Research & Development,1,Medical,1,Male,40,5,Research Director,Divorced,19627,21445,9,Y,No,17,80,2,23,0,2,2,2,2,Leadership,Master,Very High,High,Very High,Excellent,Very High,Better
1073,36,No,Travel_Rarely,796,Research & Development,12,Medical,1,Female,51,3,Manufacturing Director,Single,8858,15669,0,Y,No,11,80,0,15,2,14,8,7,8,Leadership,Doctor,Very High,Medium,Very High,Excellent,Medium,Good
1074,55,No,Non-Travel,444,Research & Development,2,Medical,1,Male,40,4,Manager,Single,16756,17323,7,Y,No,15,80,0,31,3,9,7,6,2,Leadership,Below College,High,Medium,Low,Excellent,Medium,Bestß
1084,30,No,Travel_Rarely,1176,Research & Development,20,Other,1,Male,85,2,Manufacturing Director,Married,9957,9096,0,Y,No,15,80,1,7,1,6,2,0,2,Leadership,Bachelor,High,High,Low,Excellent,High,Good
1096,55,No,Travel_Frequently,1091,Research & Development,2,Life Sciences,1,Male,65,3,Manufacturing Director,Married,10976,15813,3,Y,No,18,80,1,23,4,3,2,1,2,Leadership,Below College,Very High,High,Medium,Excellent,Medium,Better
1109,42,No,Travel_Rarely,469,Research & Development,2,Medical,1,Male,35,4,Manager,Married,17665,14399,0,Y,No,17,80,1,23,3,22,6,13,7,Leadership,College,Very High,High,Low,Excellent,Very High,Better
1116,48,No,Non-Travel,1262,Research & Development,1,Medical,1,Male,35,4,Manager,Single,16885,16154,2,Y,No,22,80,0,27,3,5,4,2,1,Leadership,Master,Low,Very High,Very High,Outstandingß,High,Good
1121,28,No,Travel_Rarely,950,Research & Development,3,Medical,1,Female,93,3,Manufacturing Director,Divorced,7655,8039,0,Y,No,17,80,3,10,3,9,7,1,7,Leadership,Bachelor,Very High,High,Medium,Excellent,Medium,Good
1124,46,No,Travel_Rarely,406,Sales,3,Marketing,1,Male,52,4,Manager,Married,17465,15596,3,Y,No,12,80,1,23,3,12,9,4,9,Leadership,Below College,Low,High,High,Excellent,Very High,Better
1126,43,No,Travel_Frequently,1082,Research & Development,27,Life Sciences,1,Female,83,3,Manufacturing Director,Married,10820,11535,8,Y,No,11,80,1,18,1,8,7,0,1,Leadership,Bachelor,High,High,Low,Excellent,High,Better
1128,40,No,Travel_Rarely,1308,Research & Development,14,Medical,1,Male,44,5,Research Director,Single,19626,17544,1,Y,No,14,80,0,21,2,20,7,4,9,Leadership,Bachelor,High,Medium,High,Excellent,Low,Bestß
1133,36,No,Non-Travel,217,Research & Development,18,Life Sciences,1,Male,78,2,Manufacturing Director,Single,7779,23238,2,Y,No,20,80,0,18,0,11,9,0,9,Leadership,Master,Low,High,Very High,Outstandingß,Low,Better
1140,34,No,Travel_Frequently,1003,Research & Development,2,Life Sciences,1,Male,95,2,Manufacturing Director,Single,4033,15834,2,Y,No,11,80,0,5,3,3,2,0,2,Leadership,College,Very High,High,High,Excellent,Very High,Good
1150,29,No,Travel_Rarely,718,Research & Development,8,Medical,1,Male,79,2,Manufacturing Director,Married,5056,17689,1,Y,Yes,15,80,1,10,2,10,7,1,2,Leadership,Below College,Medium,Medium,Very High,Excellent,High,Good
1166,40,No,Travel_Frequently,593,Research & Development,9,Medical,1,Female,88,3,Research Director,Single,13499,13782,9,Y,No,17,80,0,20,3,18,7,2,13,Leadership,Master,Medium,High,High,Excellent,High,Good
1182,35,No,Travel_Rarely,819,Research & Development,2,Life Sciences,1,Male,44,3,Manufacturing Director,Divorced,10274,19588,2,Y,No,18,80,1,15,2,7,7,6,4,Leadership,Bachelor,High,Medium,Medium,Excellent,Medium,Bestß
1191,56,No,Travel_Rarely,718,Research & Development,4,Technical Degree,1,Female,92,5,Manager,Divorced,19943,18575,4,Y,No,13,80,1,28,2,5,2,4,2,Leadership,Master,Very High,High,Low,Excellent,Very High,Better
1196,37,No,Travel_Rarely,977,Research & Development,1,Life Sciences,1,Female,56,2,Manufacturing Director,Married,6474,9961,1,Y,No,13,80,1,14,2,14,8,3,11,Leadership,Bachelor,Very High,Medium,Very High,Excellent,Medium,Good
1201,53,No,Travel_Rarely,1223,Research & Development,7,Medical,1,Female,50,5,Manager,Divorced,18606,18640,3,Y,No,18,80,1,26,6,7,7,4,7,Leadership,College,Very High,High,High,Excellent,Medium,Better
1204,46,No,Travel_Rarely,1402,Sales,2,Marketing,1,Female,69,4,Manager,Married,17048,24097,8,Y,No,23,80,0,28,2,26,15,15,9,Leadership,Bachelor,High,High,Low,Outstandingß,Low,Better
1215,50,No,Travel_Frequently,1421,Research & Development,2,Medical,1,Female,30,4,Manager,Married,17856,9490,2,Y,No,22,80,1,32,3,2,2,2,2,Leadership,Bachelor,Very High,High,Low,Outstandingß,High,Better
1217,46,No,Travel_Rarely,1450,Research & Development,15,Life Sciences,1,Male,52,5,Research Director,Married,19081,10849,5,Y,No,11,80,1,25,2,4,2,0,3,Leadership,College,Very High,High,Medium,Excellent,Low,Better
1228,46,No,Travel_Rarely,150,Research & Development,2,Technical Degree,1,Male,60,2,Manufacturing Director,Divorced,7379,17433,2,Y,No,11,80,1,12,3,6,3,1,4,Leadership,Master,Very High,High,Very High,Excellent,High,Good
1237,36,No,Travel_Rarely,363,Research & Development,1,Technical Degree,1,Female,77,3,Manufacturing Director,Divorced,10252,4235,2,Y,Yes,21,80,1,17,2,7,7,7,7,Leadership,Bachelor,High,Low,Low,Outstandingß,High,Better
1242,42,No,Travel_Frequently,458,Research & Development,26,Medical,1,Female,60,3,Research Director,Married,13191,23281,3,Y,Yes,17,80,0,20,6,1,0,0,0,Leadership,Doctor,Low,High,Low,Excellent,High,Better
1245,54,No,Travel_Frequently,966,Research & Development,1,Life Sciences,1,Female,53,3,Manufacturing Director,Divorced,10502,9659,7,Y,No,17,80,1,33,2,5,4,1,4,Leadership,Master,Very High,High,High,Excellent,Low,Bad
1250,54,No,Travel_Rarely,685,Research & Development,3,Life Sciences,1,Male,85,4,Research Director,Married,17779,23474,3,Y,No,14,80,0,36,2,10,9,0,9,Leadership,Bachelor,Very High,High,Very High,Excellent,Low,Better
1255,43,No,Travel_Rarely,920,Research & Development,3,Life Sciences,1,Male,96,5,Research Director,Married,19740,18625,3,Y,No,14,80,1,25,2,8,7,0,7,Leadership,Bachelor,High,Low,Very High,Excellent,Medium,Better
1256,49,No,Travel_Rarely,1098,Research & Development,4,Medical,1,Male,85,5,Manager,Married,18711,12124,2,Y,No,13,80,1,23,2,1,0,0,0,Leadership,College,Low,Medium,High,Excellent,High,Bestß
1263,48,No,Travel_Rarely,715,Research & Development,1,Life Sciences,1,Male,76,5,Research Director,Single,18265,8733,6,Y,No,12,80,0,25,3,1,0,0,0,Leadership,Bachelor,Very High,Medium,Very High,Excellent,High,Bestß
1264,29,No,Travel_Rarely,694,Research & Development,1,Life Sciences,1,Female,87,4,Research Director,Divorced,16124,3423,3,Y,No,14,80,2,9,2,7,7,1,7,Leadership,Bachelor,Very High,Medium,Very High,Excellent,Medium,Good
1267,44,No,Travel_Rarely,1099,Sales,5,Marketing,1,Male,88,5,Manager,Married,18213,8751,7,Y,No,11,80,1,26,5,22,9,3,10,Leadership,Bachelor,Medium,High,Medium,Excellent,High,Better
1277,45,Yes,Travel_Rarely,1449,Sales,2,Marketing,1,Female,94,5,Manager,Single,18824,2493,2,Y,Yes,16,80,0,26,2,24,10,1,11,Leadership,Bachelor,Low,Low,Medium,Excellent,Low,Better
1280,46,No,Travel_Rarely,168,Sales,4,Marketing,1,Female,33,5,Manager,Married,18789,9946,2,Y,No,14,80,1,26,2,11,4,0,8,Leadership,College,Very High,Medium,Medium,Excellent,High,Better
1282,51,No,Travel_Frequently,237,Sales,9,Life Sciences,1,Male,83,5,Manager,Divorced,19847,19196,4,Y,Yes,24,80,1,31,5,29,10,11,10,Leadership,Bachelor,Very High,High,Medium,Outstandingß,Low,Good
1283,59,No,Travel_Rarely,1429,Research & Development,18,Medical,1,Male,67,3,Manufacturing Director,Single,10512,20002,6,Y,No,12,80,0,25,6,9,7,5,4,Leadership,Master,Very High,High,Very High,Excellent,Very High,Good
1288,44,No,Travel_Rarely,1199,Research & Development,4,Life Sciences,1,Male,92,5,Manager,Divorced,19190,17477,1,Y,No,14,80,2,26,4,25,9,14,13,Leadership,College,High,Very High,Low,Excellent,Very High,Good
1294,36,No,Travel_Rarely,429,Research & Development,2,Life Sciences,1,Female,53,2,Manufacturing Director,Single,5410,2323,9,Y,Yes,11,80,0,18,2,16,14,5,12,Leadership,Master,High,High,Medium,Excellent,Very High,Better
1298,30,No,Non-Travel,879,Research & Development,9,Medical,1,Female,72,2,Manufacturing Director,Single,4695,12858,7,Y,Yes,18,80,0,10,3,8,4,1,7,Leadership,College,High,High,High,Excellent,High,Better
1306,45,No,Travel_Frequently,364,Research & Development,25,Medical,1,Female,83,5,Manager,Single,18061,13035,3,Y,No,22,80,0,22,4,0,0,0,0,Leadership,Bachelor,Medium,High,Medium,Outstandingß,High,Better
1307,39,No,Travel_Rarely,412,Research & Development,13,Medical,1,Female,94,4,Manager,Divorced,17123,17334,6,Y,Yes,13,80,2,21,4,19,9,15,2,Leadership,Master,High,Medium,Medium,Excellent,Very High,Better
1317,50,No,Travel_Rarely,1322,Research & Development,28,Life Sciences,1,Female,43,4,Research Director,Married,16880,22422,4,Y,Yes,11,80,0,25,2,3,2,1,2,Leadership,Bachelor,Very High,High,Low,Excellent,Medium,Better
1321,30,No,Travel_Rarely,634,Research & Development,17,Medical,1,Female,95,3,Manager,Married,11916,25927,1,Y,Yes,23,80,2,9,2,9,1,0,8,Leadership,Master,Medium,High,Low,Outstandingß,Very High,Better
1322,39,No,Travel_Rarely,524,Research & Development,18,Life Sciences,1,Male,32,2,Manufacturing Director,Single,4534,13352,0,Y,No,11,80,0,9,6,8,7,1,7,Leadership,College,Low,High,High,Excellent,Low,Better
1334,42,No,Non-Travel,495,Research & Development,2,Life Sciences,1,Male,37,4,Manager,Married,17861,26582,0,Y,Yes,13,80,0,21,3,20,8,2,10,Leadership,Below College,High,High,High,Excellent,Very High,Good
1336,55,No,Travel_Rarely,282,Research & Development,2,Medical,1,Female,58,5,Manager,Married,19187,6992,4,Y,No,14,80,1,23,5,19,9,9,11,Leadership,College,Very High,Low,High,Excellent,Very High,Better
1338,56,No,Travel_Rarely,206,Human Resources,8,Life Sciences,1,Male,99,5,Manager,Single,19717,4022,6,Y,No,14,80,0,36,4,7,3,7,7,Leadership,Master,Very High,High,Medium,Excellent,Low,Better
1352,51,No,Travel_Rarely,770,Human Resources,5,Life Sciences,1,Male,84,4,Manager,Divorced,14026,17588,1,Y,Yes,11,80,1,33,2,33,9,0,10,Leadership,Bachelor,High,High,Medium,Excellent,Medium,Better
1360,58,Yes,Travel_Rarely,601,Research & Development,7,Medical,1,Female,53,3,Manufacturing Director,Married,10008,12023,7,Y,Yes,14,80,0,31,0,10,9,5,9,Leadership,Master,High,Medium,Low,Excellent,Very High,Good
1363,48,No,Travel_Rarely,855,Research & Development,4,Life Sciences,1,Male,54,3,Manufacturing Director,Single,7898,18706,1,Y,No,11,80,0,11,2,10,9,0,8,Leadership,Bachelor,Very High,High,Very High,Excellent,High,Better
1367,51,No,Travel_Rarely,1405,Research & Development,11,Technical Degree,1,Female,82,4,Manufacturing Director,Single,13142,24439,3,Y,No,16,80,0,29,1,5,2,0,3,Leadership,College,Very High,Medium,Medium,Excellent,Medium,Good
1373,56,No,Travel_Rarely,1369,Research & Development,23,Life Sciences,1,Male,68,4,Manufacturing Director,Married,13402,18235,4,Y,Yes,12,80,1,33,0,19,16,15,9,Leadership,Bachelor,Very High,High,Medium,Excellent,Low,Better
1389,31,Yes,Travel_Rarely,330,Research & Development,22,Medical,1,Male,98,2,Manufacturing Director,Married,6179,21057,1,Y,Yes,15,80,2,10,3,10,2,6,7,Leadership,Master,Very High,High,High,Excellent,Very High,Good
1401,52,No,Travel_Frequently,322,Research & Development,28,Medical,1,Female,59,4,Manufacturing Director,Married,13247,9731,2,Y,Yes,11,80,1,24,3,5,3,0,2,Leadership,College,Very High,Very High,High,Excellent,Medium,Good
1408,42,No,Travel_Rarely,1147,Human Resources,10,Human Resources,1,Female,31,4,Manager,Married,16799,16616,0,Y,No,14,80,1,21,5,20,7,0,9,Leadership,Bachelor,High,High,Low,Excellent,High,Better
1412,35,No,Travel_Frequently,200,Research & Development,18,Life Sciences,1,Male,60,3,Manufacturing Director,Single,9362,19944,2,Y,No,11,80,0,10,2,2,2,2,2,Leadership,College,High,High,Very High,Excellent,High,Better
1422,54,No,Travel_Rarely,971,Research & Development,1,Medical,1,Female,54,4,Research Director,Single,17328,5652,6,Y,No,19,80,0,29,3,20,7,12,7,Leadership,Bachelor,Very High,High,Very High,Excellent,Very High,Good
1423,58,No,Travel_Rarely,1055,Research & Development,1,Medical,1,Female,76,5,Research Director,Married,19701,22456,3,Y,Yes,21,80,1,32,3,9,8,1,5,Leadership,Bachelor,Very High,High,Low,Outstandingß,High,Better
1424,55,No,Travel_Rarely,1136,Research & Development,1,Medical,1,Male,81,4,Research Director,Divorced,14732,12414,2,Y,No,13,80,2,31,4,7,7,0,0,Leadership,Master,Medium,Very High,Very High,Excellent,Very High,Bestß
1430,31,No,Travel_Rarely,182,Research & Development,8,Life Sciences,1,Female,93,4,Research Director,Single,16422,8847,3,Y,No,11,80,0,9,3,3,2,1,0,Leadership,Doctor,Low,High,Medium,Excellent,High,Bestß
